unit_type,u,grat_contrast,grat_orientation,response,smoothed_response
excit,9,0.303066,75,0.0018189912222222222,0.0017474840694444447
excit,9,0.303066,90,0.0015542477777777777,0.0015535559027777777
excit,9,0.303066,105,0.00139074125,0.0013663051666666667
excit,9,0.303066,120,0.0012275778055555555,0.001219719361111111
excit,9,0.303066,135,0.001062745,0.001097938625
excit,9,0.303066,150,0.0009137248055555555,0.0009339190277777779
excit,9,0.303066,165,0.000983882736111111,0.000983159875
excit,9,0.464386,0,0.001088728125,0.0010582496944444445
excit,9,0.464386,15,0.0013008597777777779,0.001295555486111111
excit,9,0.464386,30,0.0013562434722222223,0.0013898682638888889
excit,9,0.464386,45,0.0015901794444444445,0.0016469767777777778
excit,9,0.464386,60,0.0023414567777777775,0.002257965652777778
excit,9,0.464386,75,0.0020224814583333335,0.001988827347222222
excit,9,0.464386,90,0.002397212875,0.002408979472222222
excit,9,0.464386,105,0.0020771045694444445,0.0020325496944444445
excit,9,0.464386,120,0.001456208125,0.0014689172916666667
excit,9,0.464386,135,0.0017385881666666667,0.0016885520833333334
excit,9,0.464386,150,0.0016552144861111111,0.0016018396111111112
excit,9,0.464386,165,0.0012833627777777779,0.0012570709027777778
excit,9,0.68854,0,0.0016346603055555555,0.0015661069583333333
excit,9,0.68854,15,0.002118752236111111,0.0020655394999999997
excit,9,0.68854,30,0.0020885120277777777,0.002086964625
excit,9,0.68854,45,0.0025415918333333335,0.002446172152777778
excit,9,0.68854,60,0.002616826666666667,0.0025105744166666667
excit,9,0.68854,75,0.002229800875,0.0021883094166666667
excit,9,0.68854,90,0.0025440296666666665,0.0025269977916666667
excit,9,0.68854,105,0.0025720385833333335,0.0024732333472222224
excit,9,0.68854,120,0.0021725475833333334,0.002060860763888889
excit,9,0.68854,135,0.001965547652777778,0.0019026139861111112
excit,9,0.68854,150,0.0020168701944444445,0.001941538222222222
excit,9,0.68854,165,0.001500884513888889,0.0014968753194444444
excit,9,1.0,0,0.0017948793333333333,0.0017289075833333333
excit,9,1.0,15,0.002086796486111111,0.0020869841111111113
excit,9,1.0,30,0.00250718,0.0024453011388888887
excit,9,1.0,45,0.0025172692500000002,0.0024212897083333335
excit,9,1.0,60,0.002940805013888889,0.0028416750416666667
