u,unit_type,grat_orientation,grat_contrast,grat_spat_freq,grat_phase,response,smoothed_response
2,excit,15,0.68854,0.0240215,90,0.0,0.0
2,excit,15,0.68854,0.0240215,180,0.00159872,0.00191847
2,excit,15,0.68854,0.0240215,270,0.00171233,0.0010274
2,excit,15,0.68854,0.0577032,0,0.000856164,0.000856164
2,excit,15,0.68854,0.0577032,90,0.00149925,0.00149925
2,excit,15,0.68854,0.0577032,180,0.00109051,0.00109051
2,excit,15,0.68854,0.0577032,270,0.002997,0.0025974
2,excit,15,0.68854,0.138612,0,0.003,0.003
2,excit,15,0.68854,0.138612,90,0.000999001,0.0011988
2,excit,15,0.68854,0.138612,180,0.0,0.0
2,excit,15,0.68854,0.138612,270,0.00257069,0.00222793
2,excit,15,0.68854,0.332966,0,0.0,0.0
2,excit,15,0.68854,0.332966,90,0.0,0.0
2,excit,15,0.68854,0.332966,180,0.0,0.0
2,excit,15,0.68854,0.332966,270,0.000999001,0.0011988
2,excit,15,0.68854,0.799834,0,0.0,0.0
2,excit,15,0.68854,0.799834,90,0.00149925,0.00149925
2,excit,15,0.68854,0.799834,180,0.000856164,0.0010274
2,excit,15,0.68854,0.799834,270,0.00499501,0.0037962
2,excit,15,1.0,0.01,0,0.0,0.0
2,excit,15,1.0,0.01,90,0.00109051,0.00109051
2,excit,15,1.0,0.01,180,0.0,0.000369004
2,excit,15,1.0,0.01,270,0.000705219,0.000705219
2,excit,15,1.0,0.0240215,0,0.00428082,0.00342466
2,excit,15,1.0,0.0240215,90,0.00369004,0.00332103
2,excit,15,1.0,0.0240215,180,0.00159872,0.00143885
2,excit,15,1.0,0.0240215,270,0.00109051,0.00152672
2,excit,15,1.0,0.0577032,0,0.00159872,0.00143885
2,excit,15,1.0,0.0577032,90,0.00479616,0.00455636
2,excit,15,1.0,0.0577032,180,0.00319744,0.0028777
2,excit,15,1.0,0.0577032,270,0.0,0.0
2,excit,15,1.0,0.138612,0,0.00319744,0.00303757
2,excit,15,1.0,0.138612,90,0.000922509,0.000922509
2,excit,15,1.0,0.138612,180,0.0,0.0
2,excit,15,1.0,0.138612,270,0.0,0.0
2,excit,15,1.0,0.332966,0,0.0,0.0
2,excit,15,1.0,0.332966,90,0.00133333,0.00133333
2,excit,15,1.0,0.332966,180,0.0,0.0
2,excit,15,1.0,0.332966,270,0.00211566,0.00183357
2,excit,15,1.0,0.799834,0,0.0,0.0
2,excit,15,1.0,0.799834,90,0.0,0.0
2,excit,15,1.0,0.799834,180,0.000799361,0.000639488
2,excit,15,1.0,0.799834,270,0.00109051,0.000654308
2,excit,30,0.0,0.01,0,0.0,0.0
2,excit,30,0.0,0.01,90,0.0,0.0
2,excit,30,0.0,0.01,180,0.004,0.0036
2,excit,30,0.0,0.01,270,0.00239808,0.00207834
2,excit,30,0.0,0.0240215,0,0.0,0.0
2,excit,30,0.0,0.0240215,90,0.0,0.0
2,excit,30,0.0,0.0240215,180,0.0,0.0004
2,excit,30,0.0,0.0240215,270,0.00149925,0.00164918
2,excit,30,0.0,0.0577032,0,0.00119904,0.000959233
2,excit,30,0.0,0.0577032,90,0.0,0.0
2,excit,30,0.0,0.0577032,180,0.0,0.0
2,excit,30,0.0,0.0577032,270,0.0,0.0
2,excit,30,0.0,0.138612,0,0.00276753,0.00295203
2,excit,30,0.0,0.138612,90,0.00239808,0.00239808
2,excit,30,0.0,0.138612,180,0.00109051,0.00109051
2,excit,30,0.0,0.138612,270,0.002997,0.0025974
2,excit,30,0.0,0.332966,0,0.00218102,0.00261723
2,excit,30,0.0,0.332966,90,0.00239808,0.00255795
2,excit,30,0.0,0.332966,180,0.0,0.0
2,excit,30,0.0,0.332966,270,0.00184502,0.00221402
2,excit,30,0.0,0.799834,0,0.00654308,0.00588877
2,excit,30,0.0,0.799834,90,0.00141044,0.00155148
2,excit,30,0.0,0.799834,180,0.00141143,0.00141143
2,excit,30,0.0,0.799834,270,0.0,0.0
2,excit,30,0.0432773,0.01,0,0.001,0.001
2,excit,30,0.0432773,0.01,90,0.0,0.0
2,excit,30,0.0432773,0.01,180,0.00133333,0.00133333
2,excit,30,0.0432773,0.01,270,0.00171233,0.00136986
2,excit,30,0.0432773,0.0240215,0,0.0,0.000184502
2,excit,30,0.0432773,0.0240215,90,0.000666223,0.000399734
2,excit,30,0.0432773,0.0240215,180,0.000799361,0.000639488
2,excit,30,0.0432773,0.0240215,270,0.0,0.0
2,excit,30,0.0432773,0.0577032,0,0.00149925,0.0017991
2,excit,30,0.0432773,0.0577032,90,0.00171233,0.00171233
2,excit,30,0.0432773,0.0577032,180,0.0,0.0
2,excit,30,0.0432773,0.0577032,270,0.000922509,0.000738007
2,excit,30,0.0432773,0.138612,0,0.0,0.0
2,excit,30,0.0432773,0.138612,90,0.00149925,0.00149925
2,excit,30,0.0432773,0.138612,180,0.00513699,0.00513699
2,excit,30,0.0432773,0.138612,270,0.001,0.0014
2,excit,30,0.0432773,0.332966,0,0.000631313,0.000631313
2,excit,30,0.0432773,0.332966,90,0.0,0.0
2,excit,30,0.0432773,0.332966,180,0.0,0.0
2,excit,30,0.0432773,0.332966,270,0.0,0.0
2,excit,30,0.0432773,0.799834,0,0.0,0.0
2,excit,30,0.0432773,0.799834,90,0.0,0.0
2,excit,30,0.0432773,0.799834,180,0.0,0.0
2,excit,30,0.0432773,0.799834,270,0.0,0.0
2,excit,30,0.103411,0.01,0,0.000999001,0.0011988
2,excit,30,0.103411,0.01,90,0.000749625,0.00089955
2,excit,30,0.103411,0.01,180,0.0,0.0
2,excit,30,0.103411,0.01,270,0.0,0.0
2,excit,30,0.103411,0.0240215,0,0.0,0.000532623
2,excit,30,0.103411,0.0240215,90,0.00149925,0.00209895
2,excit,30,0.103411,0.0240215,180,0.0,0.0
2,excit,30,0.103411,0.0240215,270,0.0,0.0
2,excit,30,0.103411,0.0577032,0,0.0,0.0
2,excit,30,0.103411,0.0577032,90,0.000799361,0.000959233
2,excit,30,0.103411,0.0577032,180,0.000631313,0.000631313
2,excit,30,0.103411,0.0577032,270,0.00327154,0.00327154
2,excit,30,0.103411,0.138612,0,0.00149925,0.0017991
2,excit,30,0.103411,0.138612,90,0.0,0.0
2,excit,30,0.103411,0.138612,180,0.0,0.0
2,excit,30,0.103411,0.138612,270,0.0,0.0
2,excit,30,0.103411,0.332966,0,0.0029985,0.00269865
2,excit,30,0.103411,0.332966,90,0.0,0.0
2,excit,30,0.103411,0.332966,180,0.00171233,0.0010274
2,excit,30,0.103411,0.332966,270,0.0,0.0
2,excit,30,0.103411,0.799834,0,0.0,0.0
2,excit,30,0.103411,0.799834,90,0.00342466,0.00273973
2,excit,30,0.103411,0.799834,180,0.0,0.0
2,excit,30,0.103411,0.799834,270,0.00327154,0.00348964
2,excit,30,0.186966,0.01,0,0.00239808,0.00255795
2,excit,30,0.186966,0.01,90,0.0,0.0
2,excit,30,0.186966,0.01,180,0.000571102,0.000799543
2,excit,30,0.186966,0.01,270,0.00327154,0.00283533
2,excit,30,0.186966,0.0240215,0,0.0,0.000719424
2,excit,30,0.186966,0.0240215,90,0.000856898,0.000856898
2,excit,30,0.186966,0.0240215,180,0.00119904,0.00119904
2,excit,30,0.186966,0.0240215,270,0.0,0.000239808
2,excit,30,0.186966,0.0577032,0,0.0,0.0
2,excit,30,0.186966,0.0577032,90,0.0,0.0
2,excit,30,0.186966,0.0577032,180,0.0,0.0
2,excit,30,0.186966,0.0577032,270,0.0,0.00089955
2,excit,30,0.186966,0.138612,0,0.0,0.0
